,Case,Date,Year,Country,Location,Activity,Sex,Age,Fatal
2906,1978.00.00.b,1978,1978,USA,"Cocoa Beach, Brevard County",Swimming/Surfing/Boogie Boarding,F,,N
2907,1978.00.00.a,1978,1978,VANUATU,"Ranon, Ambryn",Swimming/Surfing/Boogie Boarding,F,,Y
2908,1977.12.31,31-Dec-77,1977,USA,2 miles off Keahole Airport,,M,49,N
2909,1977.12.19.b,19-Dec-77,1977,USA,"Hobe Sound, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,27,N
2910,1977.12.19.a,19-Dec-77,1977,SOUTH AFRICA,Qolera River,Swimming/Surfing/Boogie Boarding,M,18,N
2911,1977.12.00,Dec-77,1977,SOUTH AFRICA,"Macassar, False Bay",,Unknown,,N
2912,1977.11.12,12-Nov-77,1977,SOUTH AFRICA,Klein River Lagoon,Standing/Wading/Walking,M,,N
2913,1977.10.30,30-Oct-77,1977,SOUTH AFRICA,"Bluegums Rock, Partridge Point",Fishing/Spearfishing,M,25,N
2914,1977.08.31,31-Aug-77,1977,AUSTRALIA,"Cactus Beach, near Ceduna",Swimming/Surfing/Boogie Boarding,M,17,N
2915,1977.08.23,23-Aug-77,1977,AUSTRALIA,"Buddina Beach, south of Noosa",,M,25,Y
2916,1977.08.19,19-Aug-77,1977,SOUTH AFRICA,Off Macassar Beach,Fishing/Spearfishing,M,,N
2917,1977.08.14,14-Aug-77,1977,USA,"McClure Beach, near Tomales Point, Marin County",,M,20,N
2918,1977.08.05,05-Aug-77,1977,USA,"St. Petersburg, Pinellas County",Standing/Wading/Walking,M,17,N
2919,1977.07.02,02-Jul-77,1977,USA,"Off San Diego, San Diego County",,M,21,N
2920,1977.06.26,26-Jun-77,1977,USA,"12 miles northeast of Mayport,  Duval County",,M,27,N
2921,1977.06.06,06-Jun-77,1977,USA,Padre Island,,M,25,N
2922,1977.05.26,26-May-77,1977,SOUTH AFRICA,13 km off Knysna ,,M,,N
2923,1977.05.16,16-May-77,1977,AUSTRALIA,Southport,,M,,N
2924,1977.04.26,26-Apr-77,1977,AUSTRALIA,Tallebudgera,,M,,N
2925,1977.04.21,21-Apr-77,1977,USA,"Ka'anapali, Maui",Swimming/Surfing/Boogie Boarding,M,,N
2926,1977.03.17,17-Mar-77,1977,SOUTH AFRICA,"Lappiesbaai Beach, Stilbaai",Swimming/Surfing/Boogie Boarding,M,31,N
2927,1977.03.13.c,13-Mar-77,1977,AUSTRALIA,Near Moreton Island in Moreton Bay,,M,32,N
2928,1977.03.13.b,13-Mar-77,1977,AUSTRALIA,Near Moreton Island in Moreton Bay,,M,74,Y
2929,1977.03.13.a,13-Mar-77,1977,AUSTRALIA,Near Moreton Island in Moreton Bay,,M,45,Y
2930,1977.02.26,26-Feb-77,1977,AUSTRALIA,"Kingscliffe Beach, south of Tweed Heads",,M,24,N
2931,1977.02.04,04-Feb-77,1977,AUSTRALIA,Sorrento Back Beach,,M,,Y
2932,1977.02.00,Feb-77,1977,NEW CALEDONIA,I'le Ouen,,Unknown,,N
2933,1977.01.00,Jan-77,1977,MEXICO,La Playa Hornos (near Acapulco),Swimming/Surfing/Boogie Boarding,M,,Y
2934,1976.12.29,29-Dec-76,1976,AUSTRALIA,Caloundra,,M,,N
2935,1976.12.18,18-Dec-76,1976,USA,"San Miguel Island, Santa Barbara County",,M,29,N
2936,1976.11.27,27-Nov-76,1976,SOUTH AFRICA,Clifton,,M,19,N
2937,1976.11.26,26-Nov-76,1976,AUSTRALIA,Southport Bar,,Unknown,,Y
2938,1976.11.25,25-Nov-76,1976,USA,"Delray Beach, Palm Beach County",Swimming/Surfing/Boogie Boarding,M,19,N
2939,1976.11.23,23-Nov-76,1976,SOUTH AFRICA,Warner Beach,Swimming/Surfing/Boogie Boarding,M,17,N
2940,1976.11.06,Nov-76,1976,SOUTH AFRICA,Macassar,,Unknown,,N
2941,1976.10.27,27-Oct-76,1976,SOUTH AFRICA,Gordons Bay,,Unknown,,N
2942,1976.10.18,18-Oct-76,1976,USA,"Moonstone Beach, Humboldt County",Swimming/Surfing/Boogie Boarding,M,25,N
2943,1976.10.06,06-Oct-76,1976,SOUTH AFRICA,Cape St. Francis,Swimming/Surfing/Boogie Boarding,M,20,N
2944,1976.09.22,22-Sep-76,1976,NEW CALEDONIA,Sarcelle,,Unknown,,N
2945,1976.09.19,19-Sep-76,1976,AUSTRALIA,"Point Lowly, north of Whyalla",,M,27,N
2946,1976.09.17,17-Sep-76,1976,HONG KONG,,,M,,Y
2947,1976.09.12.b,12-Sep-76,1976,USA,"Jacksonville, Duval County",Swimming/Surfing/Boogie Boarding,M,16,Y
2948,1976.09.12.a,12-Sep-76,1976,USA,"Jacksonville, Duval County",Swimming/Surfing/Boogie Boarding,M,,Y
2949,1976.09.06,06-Sep-76,1976,USA,"Sebastian, Indian River County",Swimming/Surfing/Boogie Boarding,M,15,N
2950,1976.08.26,26-Aug-76,1976,USA,"Emerald Isle Pier (near Morehead City), Carteret County",,M,23,N
2951,1976.08.24,24-Aug-76,1976,USA,Winchester Bay,Swimming/Surfing/Boogie Boarding,M,19,N
2952,1976.07.24,24-Jul-76,1976,USA,St. Lucie County,Fishing/Spearfishing,M,24,N
2953,1976.07.21,21-Jul-76,1976,USA,Scofield - Sandy Point,Standing/Wading/Walking,M,10,N
2954,1976.07.16,16-Jul-76,1976,USA,"Maha'ulepu, Koloa, Kaua'i",Diving/Scuba Diving/Freediving,M,18,Y
2955,1976.07.12,12-Jul-76,1976,USA,St. Lucie County,Fishing/Spearfishing,M,23,N
2956,1976.06.23,23-Jun-76,1976,USA,"St. Andrews State Park, Bay County",Diving/Scuba Diving/Freediving,M,17,N
2957,1976.06.10,10-Jun-76,1976,USA,"Kama'ole Beach, Park No. 1, Kihei, Maui",Swimming/Surfing/Boogie Boarding,M,,N
2958,1976.06.02.R,Reported 02-Jun-1976,1976,ITALY,Bovalino,Fishing/Spearfishing,M,46,N
2959,1976.06.01,01-Jun-76,1976,AUSTRALIA,Off Stradbroke Island,,F,,N
2960,1976.05.02,02-May-76,1976,SOUTH AFRICA,40 km off Cape Point,,Unknown,,N
2961,1976.04.28,28-Apr-76,1976,USA,Galveston Island,,Unknown,,Y
2962,1976.03.12.b,12-Mar-76,1976,USA,"New Smyrna Beach, Volusia County",Standing/Wading/Walking,M,21 or 26,N
